external_alarm_id,source_system,tag,message,priority,criticality,state,event_time,ack_time,clear_time,plant,area,equipment
ALM-001678,ROCKWELL_PLC,TAG_U0020,Process variable out of range on EQ-018,3,MEDIUM,ACKNOWLEDGED,2024-05-21T11:00:00,2024-05-21T11:43:00,,PLANT_A,AREA_04,EQ-005
ALM-000708,HONEYWELL_DCS,TAG_U0020,Process variable out of range on EQ-011,2,LOW,SHELVED,2024-05-16T02:00:00,,,PLANT_C,AREA_01,EQ-030
ALM-000892,ABB_SCADA,TAG_N0039,Process variable out of range on EQ-022,4,MEDIUM,ACKNOWLEDGED,2024-05-11T07:00:00,2024-05-11T07:34:00,,PLANT_B,AREA_04,EQ-028
ALM-000615,ABB_SCADA,TAG_V0021,Process variable out of range on EQ-018,3,MEDIUM,SHELVED,2024-05-27T00:00:00,,,PLANT_C,AREA_02,EQ-001
ALM-000432,HONEYWELL_DCS,TAG_T0045,Process variable out of range on EQ-008,1,LOW,SHELVED,2024-05-27T08:00:00,,,PLANT_B,AREA_03,EQ-029
ALM-000962,SIEMENS_SCADA,TAG_D0029,Process variable out of range on EQ-010,5,LOW,ACTIVE,2024-05-18T04:00:00,,,PLANT_A,AREA_04,EQ-011
ALM-001450,SIEMENS_SCADA,TAG_X0049,Process variable out of range on EQ-017,1,LOW,ACTIVE,2024-05-09T23:00:00,,,PLANT_B,AREA_04,EQ-002
ALM-001242,HONEYWELL_DCS,TAG_D0029,Process variable out of range on EQ-026,2,MEDIUM,ACKNOWLEDGED,2024-05-28T13:00:00,2024-05-28T13:33:00,,PLANT_B,AREA_03,EQ-020
ALM-000466,ROCKWELL_PLC,TAG_I0008,Process variable out of range on EQ-018,3,MEDIUM,SHELVED,2024-05-18T11:00:00,,,PLANT_C,AREA_02,EQ-007
ALM-001314,ROCKWELL_PLC,TAG_N0013,Process variable out of range on EQ-003,3,MEDIUM,ACKNOWLEDGED,2024-05-17T02:00:00,2024-05-17T02:50:00,,PLANT_A,AREA_03,EQ-028
ALM-001164,ROCKWELL_PLC,TAG_L0011,Process variable out of range on EQ-022,5,HIGH,ACTIVE,2024-05-02T15:00:00,,,PLANT_A,AREA_01,EQ-012
ALM-001802,HONEYWELL_DCS,TAG_B0001,Process variable out of range on EQ-010,4,MEDIUM,ACTIVE,2024-05-06T04:00:00,,,PLANT_C,AREA_02,EQ-004
ALM-001602,SIEMENS_SCADA,TAG_J0035,Process variable out of range on EQ-006,5,HIGH,ACTIVE,2024-05-28T14:00:00,,,PLANT_C,AREA_04,EQ-020
ALM-000148,ROCKWELL_PLC,TAG_H0007,Process variable out of range on EQ-026,1,LOW,CLEARED,2024-05-05T23:00:00,2024-05-05T23:30:00,2024-05-06T00:39:00,PLANT_C,AREA_02,EQ-014
ALM-000463,ABB_SCADA,TAG_O0014,Process variable out of range on EQ-024,1,LOW,ACKNOWLEDGED,2024-05-09T20:00:00,2024-05-09T20:47:00,,PLANT_C,AREA_02,EQ-004
ALM-000693,ROCKWELL_PLC,TAG_J0035,Process variable out of range on EQ-029,3,MEDIUM,ACKNOWLEDGED,2024-05-06T09:00:00,2024-05-06T09:41:00,,PLANT_B,AREA_01,EQ-027
ALM-001858,ABB_SCADA,TAG_N0039,Process variable out of range on EQ-026,3,HIGH,CLEARED,2024-05-23T14:00:00,2024-05-23T14:41:00,2024-05-23T15:17:00,PLANT_C,AREA_04,EQ-012
ALM-001610,HONEYWELL_DCS,TAG_P0015,Process variable out of range on EQ-030,2,MEDIUM,CLEARED,2024-05-23T22:00:00,2024-05-23T22:11:00,2024-05-23T23:10:00,PLANT_A,AREA_02,EQ-029
ALM-000838,ABB_SCADA,TAG_W0048,Process variable out of range on EQ-009,5,MEDIUM,ACTIVE,2024-05-17T04:00:00,,,PLANT_B,AREA_02,EQ-028
ALM-001245,HONEYWELL_DCS,TAG_L0011,Process variable out of range on EQ-030,3,HIGH,SHELVED,2024-05-16T19:00:00,,,PLANT_A,AREA_03,EQ-019
ALM-001076,ABB_SCADA,TAG_B0027,Process variable out of range on EQ-010,5,MEDIUM,ACTIVE,2024-05-23T03:00:00,,,PLANT_A,AREA_02,EQ-009
ALM-000324,ROCKWELL_PLC,TAG_X0023,Process variable out of range on EQ-016,1,MEDIUM,ACKNOWLEDGED,2024-05-15T19:00:00,2024-05-15T19:34:00,,PLANT_C,AREA_04,EQ-011
ALM-000789,ABB_SCADA,TAG_G0006,Process variable out of range on EQ-018,1,LOW,SHELVED,2024-05-22T13:00:00,,,PLANT_C,AREA_04,EQ-007
ALM-000531,SIEMENS_SCADA,TAG_C0002,Process variable out of range on EQ-028,5,LOW,ACTIVE,2024-05-28T00:00:00,,,PLANT_A,AREA_04,EQ-025
ALM-001144,SIEMENS_SCADA,TAG_G0006,Process variable out of range on EQ-004,5,MEDIUM,CLEARED,2024-05-30T20:00:00,2024-05-30T20:55:00,2024-05-30T22:36:00,PLANT_B,AREA_02,EQ-014
ALM-000648,SIEMENS_SCADA,TAG_I0008,Process variable out of range on EQ-024,1,HIGH,CLEARED,2024-05-17T16:00:00,2024-05-17T16:10:00,2024-05-17T17:51:00,PLANT_C,AREA_02,EQ-028
ALM-000377,SIEMENS_SCADA,TAG_Y0024,Process variable out of range on EQ-007,3,LOW,SHELVED,2024-05-19T05:00:00,,,PLANT_B,AREA_02,EQ-015
ALM-000010,ROCKWELL_PLC,TAG_S0018,Process variable out of range on EQ-030,5,HIGH,SHELVED,2024-05-30T13:00:00,,,PLANT_C,AREA_03,EQ-027
ALM-001604,HONEYWELL_DCS,TAG_F0005,Process variable out of range on EQ-006,5,MEDIUM,ACKNOWLEDGED,2024-05-20T10:00:00,2024-05-20T10:42:00,,PLANT_B,AREA_04,EQ-029
ALM-001828,SIEMENS_SCADA,TAG_Q0016,Process variable out of range on EQ-024,1,MEDIUM,ACTIVE,2024-05-16T22:00:00,,,PLANT_B,AREA_03,EQ-008
ALM-001057,ABB_SCADA,TAG_I0034,Process variable out of range on EQ-011,5,MEDIUM,SHELVED,2024-05-17T06:00:00,,,PLANT_B,AREA_04,EQ-019
ALM-001471,ROCKWELL_PLC,TAG_W0022,Process variable out of range on EQ-004,1,M,ACTIVE,2024-05-03T18:00:00,,,PLANT_B,AREA_02,EQ-003
ALM-000835,SIEMENS_SCADA,TAG_N0013,Process variable out of range on EQ-004,1,LOW,SHELVED,32/13/2024 99:99:99,,,PLANT_C,AREA_01,EQ-016
ALM-001937,ROCKWELL_PLC,TAG_N0039,Process variable out of range on EQ-019,2,MEDIUM,SHELVED,2024-05-20T05:00:00,,,PLANT_C,AREA_02,EQ-015
ALM-001871,ROCKWELL_PLC,TAG_O0040,Process variable out of range on EQ-025,4,HIGH,ACKNOWLEDGED,2024-05-05T23:00:00,2024-05-05T23:48:00,,PLANT_C,AREA_03,EQ-007
ALM-000661,SIEMENS_SCADA,TAG_K0036,Process variable out of range on EQ-018,1,,ACKNOWLEDGED,2024-05-21T17:00:00,2024-05-21T17:21:00,,PLANT_B,AREA_02,EQ-024
ALM-001106,ABB_SCADA,  TAG_G0006  ,Process variable out of range on EQ-010,1,MEDIUM,ACTIVE,2024-05-15T22:00:00,,,PLANT_A,AREA_03,EQ-003
ALM-001456,ABB_SCADA,TAG_B0027,Process variable out of range on EQ-018,3,MEDIUM,ACTIVE,2024-05-25T04:00:00,,,PLANT_B,AREA_02,EQ-013
ALM-001863,SIEMENS_SCADA,TAG_Y0024,Process variable out of range on EQ-025,1,HIGH,ACKNOWLEDGED,2024-05-15T12:00:00,2024-05-15T12:12:00,,PLANT_A,AREA_03,EQ-004
ALM-000849,HONEYWELL_DCS,TAG_X0049,Process variable out of range on EQ-023,5,LOW,SHELVED,2024-05-10T01:00:00,,,PLANT_B,AREA_04,EQ-012
ALM-001132,HONEYWELL_DCS,TAG_E0030,Process variable out of range on EQ-021,2,LOW,ACTIVE,,,,PLANT_A,AREA_04,EQ-023
ALM-000805,ABB_SCADA,TAG_X0023,Process variable out of range on EQ-010,4,HIGH,ACTIVE,2024-05-10T18:00:00,,,PLANT_C,AREA_02,EQ-023
ALM-000958,ROCKWELL_PLC,,Process variable out of range on EQ-012,4,HIGH,ACKNOWLEDGED,2024-05-09T21:00:00,2024-05-09T21:57:00,,PLANT_B,AREA_01,EQ-002
ALM-001453,SIEMENS_SCADA,TAG_B0001,Process variable out of range on EQ-024,5,LOW,SHELVED,2024-05-09T04:00:00,,,PLANT_A,AREA_01,EQ-024
ALM-000655,HONEYWELL_DCS,TAG_W0022,Process variable out of range on EQ-016,4,LOW,ACKNOWLEDGED,2024-05-20T07:00:00,2024-05-20T08:00:00,,PLANT_A,AREA_01,EQ-012
ALM-000348,ROCKWELL_PLC,TAG_O0014,Process variable out of range on EQ-014,2,MEDIUM,ACTIVE,2024-05-28T12:00:00,,,PLANT_B,AREA_03,EQ-027
ALM-000045,SIEMENS_SCADA,TAG_X0023,Process variable out of range on EQ-025,5,MEDIUM,ACKNOWLEDGED,2024-05-11T17:00:00,2024-05-11T17:43:00,,PLANT_C,AREA_02,EQ-030
ALM-000406,HONEYWELL_DCS,TAG_M0012,Process variable out of range on EQ-023,5,LOW,SHELVED,2024-05-05T17:00:00,,,PLANT_C,AREA_03,EQ-008
